"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",730.991682154167,-4.61694954983782,0.166782662574484,-27.6824310067356,1.13645342655431e-168,9.25982251956455e-165
"FBgn0025111",1504.27211399903,2.90204825684816,0.126198892757224,22.9958297845845,5.13138556866405e-117,2.09052648067373e-113
"FBgn0029167",3709.74099975461,-2.19491106709491,0.0957474345465654,-22.9239673886766,2.68012139819341e-116,7.2792097174933e-113
"FBgn0003360",4344.59702525546,-3.17682601280946,0.141616596363211,-22.4325827225906,1.89321843510458e-111,3.85648595230802e-108
"FBgn0035085",638.75730196052,-2.55818904958226,0.135997246968222,-18.8105943804879,6.18405264750174e-79,1.00775321943688e-75
"FBgn0039827",262.16947036403,-4.16002181537403,0.233446722247439,-17.8200052471273,4.94318747022962e-71,6.71284858457182e-68
"FBgn0034736",226.140628526424,-3.50924000589404,0.215741921571272,-16.265916148034,1.72271006766888e-59,2.00523451876658e-56
"FBgn0029896",490.465658963135,-2.44306001009164,0.152888179737222,-15.9793910444266,1.77875081983501e-57,1.81165771000196e-54
"FBgn0000071",342.920830085549,2.68128434028473,0.184287962701536,14.5494274339947,5.88939155918188e-48,5.33186249157933e-45
"FBgn0051092",153.349822613637,2.33033198219009,0.175694333843395,13.2635579714667,3.76595441838523e-40,3.06849966010028e-37
"FBgn0040091",1107.43941748524,-1.57287283498061,0.11867241736105,-13.2539040659742,4.28328364508423e-40,3.17274501274057e-37
"FBgn0034434",114.740245191096,-3.64016569127921,0.278895407765052,-13.052081855524,6.18342891923494e-39,4.19854823616053e-36
"FBgn0027279",2958.32056401357,-1.1899411247201,0.0925575894850778,-12.8562242312062,7.93594164380637e-38,4.97400403951802e-35
"FBgn0038832",302.010792940384,-2.53773940236996,0.201772267478729,-12.5772457933918,2.81680179710218e-36,1.63937864591347e-33
"FBgn0039419",1566.11352820157,-1.1582762828511,0.0952809298205188,-12.1564334545534,5.30234975023932e-34,2.88023638433e-31
"FBgn0034897",893.732166361673,-1.92005941673814,0.16076865340975,-11.9429961999153,7.06321636648456e-33,3.59694293463226e-30
"FBgn0003501",277.984895399563,2.15537561742045,0.18199957773069,11.8427506497286,2.34629380363437e-32,1.1245648183537e-29
"FBgn0035189",216.057817745379,2.97611182797893,0.257099173412524,11.5757347193165,5.4700614891612e-31,2.44669149345222e-28
"FBgn0033764",65.3389462355851,3.414090189992,0.295027134667515,11.5721226586143,5.70534344324891e-31,2.44669149345222e-28
"FBgn0033913",5218.13495850445,-1.15928427426328,0.102601467390001,-11.298905403143,1.32863702439359e-29,5.41286723737948e-27
"FBgn0040827",216.217064074067,-1.98745706632343,0.176708213479923,-11.2471119886526,2.39299588118085e-29,9.28482401898168e-27
